#{"t_start": 1744472488.0198474, "env_id": "None"}
r,l,t
197.888623,2,223.644126
199.0,1,223.727779
194.372584,5,223.943215
194.019787,5,224.158721
199.0,1,224.246437
196.715311,3,224.387068
197.860285,2,224.494677
197.827438,2,224.631012
196.628787,3,224.800593
195.61604,4,224.980313
197.806769,2,225.093171
199.0,1,225.149857
199.0,1,225.261049
196.645082,3,225.416973
196.785561,3,225.57197
196.739347,3,225.728029
194.283387,5,225.942739
196.670391,3,226.100258
199.0,1,226.174759
197.836263,2,226.302923
199.0,1,226.389033
199.0,1,226.455981
199.0,1,226.548306
197.890605,2,226.664479
196.474675,3,226.816987
199.0,1,226.898085
199.0,1,226.957036
199.0,1,227.049668
199.0,1,227.134098
197.782909,2,227.239341
197.823181,2,227.345642
197.858853,2,227.46541
199.0,1,227.566817
199.0,1,227.647789
199.0,1,227.734515
196.693164,3,227.866426
197.804407,2,227.97869
197.827704,2,228.096892
194.25165,5,228.337022
199.0,1,228.414722
199.0,1,228.491023
199.0,1,228.579433
196.633835,3,228.725558
199.0,1,228.784184
197.890435,2,228.899586
197.884018,2,229.01259
199.0,1,229.091434
199.0,1,229.161429
195.528989,4,229.368186
199.0,1,229.442645
197.878666,2,229.547743
199.0,1,229.632685
199.0,1,229.710759
196.736287,3,229.865907
197.832174,2,229.95432
197.886339,2,230.082293
199.0,1,230.153923
199.0,1,230.231101
199.0,1,230.308661
199.0,1,230.392379
195.45804,4,230.590565
199.0,1,230.650082
197.847874,2,230.759981
195.537198,4,230.923949
191.918445,7,231.177518
199.0,1,231.251054
199.0,1,231.331095
199.0,1,231.393785
199.0,1,231.478993
199.0,1,231.562018
199.0,1,231.645154
199.0,1,231.73323
199.0,1,231.815441
194.411229,5,232.038452
193.132246,6,232.312289
199.0,1,232.379249
199.0,1,232.46959
197.83915,2,232.568351
197.779492,2,232.699236
197.8362,2,232.798717
197.839085,2,232.900276
199.0,1,232.966098
199.0,1,233.065332
199.0,1,233.147765
199.0,1,233.231091
196.735841,3,233.358237
196.728194,3,233.509899
197.860299,2,233.606749
197.839708,2,233.699619
199.0,1,233.777076
197.897779,2,233.874437
199.0,1,233.948526
191.897986,7,234.230784
195.593182,4,234.408857
199.0,1,234.497246
199.0,1,234.565023
197.800986,2,234.665826
197.299291,2,234.781047
199.0,1,234.839268
199.0,1,234.952951
197.886469,2,235.070627
199.0,1,235.145726
197.815452,2,235.265673
199.0,1,235.348155
199.0,1,235.430437
199.0,1,235.529184
199.0,1,235.616304
195.580048,4,235.78308
197.88136,2,235.88289
199.0,1,235.947739
199.0,1,236.033029
199.0,1,236.099702
197.858493,2,236.200008
199.0,1,236.280432
193.329542,6,236.518436
189.497355,9,236.854546
199.0,1,236.923708
199.0,1,237.015876
197.812643,2,237.128751
195.654424,4,237.287788
197.819759,2,237.425909
197.849802,2,237.533534
196.714101,3,237.688211
197.845926,2,237.803664
197.839665,2,237.916786
197.738398,2,238.029285
194.152203,5,238.221684
195.318944,4,238.403357
197.852812,2,238.513563
199.0,1,238.578773
197.898597,2,238.678663
195.507362,4,238.850943
193.310976,6,239.102654
199.0,1,239.181993
199.0,1,239.258829
194.418037,5,239.476375
193.139933,6,239.721848
199.0,1,239.774708
197.878785,2,239.879035
197.788205,2,239.977795
195.52663,4,240.164628
196.531031,3,240.304543
194.35683,5,240.549989
199.0,1,240.631063
190.970842,8,240.937546
199.0,1,240.998698
195.348664,4,241.161473
199.0,1,241.250742
190.418572,8,241.549721
199.0,1,241.625471
199.0,1,241.714251
199.0,1,241.798519
199.0,1,241.884173
199.0,1,241.960697
199.0,1,242.02957
196.656664,3,242.174537
197.864266,2,242.286421
199.0,1,242.350802
195.558043,4,242.519912
196.740771,3,242.647707
199.0,1,242.717385
199.0,1,242.779392
194.213964,5,243.000515
199.0,1,243.060055
196.670881,3,243.20687
199.0,1,243.275274
199.0,1,243.372288
196.755768,3,243.517785
197.664634,2,243.630924
196.685043,3,243.782707
199.0,1,243.850907
199.0,1,243.923396
199.0,1,244.014723
199.0,1,244.080925
197.861985,2,244.182731
199.0,1,244.248648
199.0,1,244.334149
196.690177,3,244.456593
197.886446,2,244.576514
199.0,1,244.634057
199.0,1,244.704022
199.0,1,244.773507
197.882481,2,244.883949
193.389706,6,245.133819
197.849608,2,245.230678
199.0,1,245.297626
197.893736,2,245.403711
196.753451,3,245.533414
196.600148,3,245.680412
197.791396,2,245.769278
199.0,1,245.83337
197.723892,2,245.925406
199.0,1,245.999831
196.495382,3,246.163034
197.807869,2,246.26839
199.0,1,246.33109
197.80596,2,246.433544
199.0,1,246.517547
199.0,1,246.599919
199.0,1,246.664208
199.0,1,246.730036
199.0,1,246.813214
199.0,1,246.878783
199.0,1,246.947641
194.466687,5,247.166135
197.8532,2,247.282578
199.0,1,247.356967
199.0,1,247.425854
199.0,1,247.517629
197.823059,2,247.611977
197.859033,2,247.717156
199.0,1,247.798599
196.598217,3,247.948679
199.0,1,248.00663
199.0,1,248.081752
195.557166,4,248.272043
197.856745,2,248.354921
197.840279,2,248.470654
196.620559,3,248.597592
187.48988,11,249.021225
195.430691,4,249.188078
197.805682,2,249.285835
195.502207,4,249.465948
197.881704,2,249.571455
199.0,1,249.659625
197.873565,2,249.756161
197.874904,2,249.852238
199.0,1,249.934719
199.0,1,250.004639
199.0,1,250.067572
197.866868,2,250.169897
197.818322,2,250.299645
199.0,1,250.387951
197.817248,2,250.486013
197.801733,2,250.576471
197.89374,2,250.697596
194.375506,5,250.918196
197.883001,2,251.040987
199.0,1,251.09855
197.775459,2,251.201372
195.662512,4,251.373604
193.21778,6,251.604737
196.522994,3,251.734065
195.608628,4,251.938914
197.895139,2,252.030373
199.0,1,252.11022
199.0,1,252.149548
197.860263,2,252.265743
199.0,1,252.342327
199.0,1,252.415198
197.496043,2,252.534282
196.664285,3,252.662729
199.0,1,252.735243
199.0,1,252.804026
193.032741,6,253.054197
194.195054,5,253.266762
196.662619,3,253.407115
197.874044,2,253.48879
197.899115,2,253.606814
199.0,1,253.665278
196.759064,3,253.799099
196.766212,3,253.957619
199.0,1,254.021538
194.468803,5,254.212808
199.0,1,254.299773
197.833202,2,254.407692
199.0,1,254.465183
195.528969,4,254.651581
194.0694,5,254.851454
199.0,1,254.915304
197.85691,2,255.03182
199.0,1,255.090189
197.832666,2,255.199258
197.777477,2,255.299562
199.0,1,255.367117
199.0,1,255.431958
195.559862,4,255.606807
199.0,1,255.66419
199.0,1,255.725494
199.0,1,255.797936
197.831843,2,255.886178
194.393355,5,256.084178
196.682659,3,256.215101
199.0,1,256.283807
197.849621,2,256.381858
197.740096,2,256.500476
196.573371,3,256.64906
199.0,1,256.714221
197.891687,2,256.812764
199.0,1,256.894929
197.837935,2,256.999241
199.0,1,257.059879
194.233122,5,257.273313
199.0,1,257.350678
199.0,1,257.415045
199.0,1,257.492504
199.0,1,257.567208
197.865043,2,257.67059
199.0,1,257.725566
197.840303,2,257.820546
199.0,1,257.912195
197.89924,2,258.014185
197.826435,2,258.099358
199.0,1,258.183836
197.814681,2,258.281909
199.0,1,258.33198
197.697949,2,258.432761
199.0,1,258.498525
199.0,1,258.565038
197.802512,2,258.681789
196.610317,3,258.799456
194.197714,5,259.016752
194.085543,5,259.215803
199.0,1,259.273495
197.820207,2,259.382237
199.0,1,259.465169
199.0,1,259.522657
196.683155,3,259.649755
197.827208,2,259.761864
199.0,1,259.850298
197.785707,2,259.949205
195.125308,4,260.114277
199.0,1,260.187832
199.0,1,260.250613
199.0,1,260.313902
196.709093,3,260.457177
190.661639,8,260.779336
199.0,1,260.848953
197.713755,2,260.965343
199.0,1,261.032635
197.849434,2,261.136531
196.623842,3,261.268528
197.866536,2,261.362748
199.0,1,261.432147
199.0,1,261.482472
193.05474,6,261.736297
192.72123,6,261.98277
196.686664,3,262.116035
193.218746,6,262.353933
197.646449,2,262.448868
196.669265,3,262.592281
199.0,1,262.649507
199.0,1,262.731882
199.0,1,262.798569
195.496356,4,262.977223
197.869802,2,263.081848
197.881573,2,263.179502
196.709657,3,263.317908
192.148761,7,263.598532
196.700038,3,263.7235
197.793012,2,263.830816
194.388737,5,264.032138
197.849694,2,264.127079
196.698134,3,264.256803
197.845199,2,264.348966
196.689391,3,264.482577
194.205518,5,264.687669
199.0,1,264.731889
195.300891,4,264.915834
199.0,1,264.968267
199.0,1,265.050451
199.0,1,265.114533
199.0,1,265.176493
197.872867,2,265.279902
195.281631,4,265.4751
199.0,1,265.531824
196.562988,3,265.666087
196.702841,3,265.806878
199.0,1,265.865748
197.862327,2,265.96684
199.0,1,266.026641
196.795364,3,266.161713
197.831943,2,266.266251
196.738231,3,266.398542
195.61741,4,266.564167
199.0,1,266.630811
199.0,1,266.694962
190.883752,8,266.981863
192.93348,6,267.210054
194.227497,5,267.414566
194.18475,5,267.607712
197.897653,2,267.694619
197.698,2,267.815035
199.0,1,267.871202
193.404578,6,268.105507
199.0,1,268.16516
199.0,1,268.226367
197.810845,2,268.321852
196.464139,3,268.461881
195.610603,4,268.631206
195.345326,4,268.790894
188.234873,10,269.147753
199.0,1,269.208699
196.243975,3,269.322495
199.0,1,269.382339
199.0,1,269.445843
192.964567,6,269.666732
197.79066,2,269.761177
197.877221,2,269.856683
197.858597,2,269.963
194.559676,4,270.133799
191.165142,7,270.421716
199.0,1,270.480778
197.813873,2,270.585144
196.67362,3,270.723989
197.895622,2,270.83268
196.705156,3,270.957069
191.787905,7,271.249285
195.622958,4,271.416725
199.0,1,271.478895
197.89131,2,271.582737
196.481432,3,271.719058
197.873403,2,271.820317
199.0,1,271.878611
195.360279,4,272.04589
190.886908,8,272.36411
195.676296,4,272.52663
195.286683,4,272.689627
199.0,1,272.764545
195.351872,4,272.957369
196.539773,3,273.10682
199.0,1,273.160491
197.890905,2,273.268497
199.0,1,273.332284
193.279902,6,273.580171
194.196993,5,273.781794
196.585358,3,273.923416
195.232244,4,274.090919
196.532638,3,274.209245
196.393223,3,274.348408
196.598993,3,274.482158
199.0,1,274.545909
194.3926,5,274.745466
197.865401,2,274.849197
197.692523,2,274.946517
199.0,1,275.014154
191.830984,7,275.284766
191.548935,7,275.566032
195.525191,4,275.724195
197.876087,2,275.8176
195.519004,4,275.984258
197.876967,2,276.075392
